Number,Pond,Treatment,startdate,datedead,datepupae,dateemerged,finalstage,finalstage2,dayspup,daysalive,daysemerg,Winglength2,mag,Winglenth,Sex
1,Ice,FPOM1,23-May,27-Jun,,,3rdinstar,3,,35,,,,,
2,Ice,FPOM1,23-May,11-Jun,,,3rdinstar,3,,19,,,,,
3,Ice,FPOM1,23-May,11-Jun,,,2ndinstar,2,,19,,,,,
4,Ice,FPOM1,23-May,4-Jul,,,4thinstar,4,,42,,,,,
5,Ice,FPOM1,23-May,17-Jul,,,3rdinstar,3,,55,,,,,
6,Ice,FPOM1,23-May,3-Jun,,,3rdinstar,3,,11,,,,,
7,Ice,FPOM1,23-May,4-Jul,,,4thinstar,4,,42,,,,,
8,Ice,FPOM1,23-May,4-Jul,,,3rdinstar,3,,42,,,,,
9,Ice,DET1,23-May,,11-Jun,15-Jun,Adult,6,19,,23,51,12,4.25,F
10,Ice,DET1,23-May,11-Jun,,,larvae,,,19,,,,,
11,Ice,DET1,23-May,,7-Jun,15-Jun,Adult,6,15,,23,55,12,4.583333333,M
12,Ice,DET1,23-May,,11-Jun,15-Jun,Adult,6,19,,23,58,12,4.833333333,F
13,Ice,DET1,23-May,,11-Jun,15-Jun,Adult,6,19,,23,60,12,5,M
14,Ice,DET1,23-May,,11-Jun,19-Jun,Adult,6,19,,27,59,12,4.916666667,F
15,Ice,DET1,23-May,,7-Jun,11-Jun,Adult,6,15,,19,50,12,4.166666667,M
16,Ice,DET1,23-May,,11-Jun,19-Jun,Adult,6,19,,27,55,12,4.583333333,M
25,Vulgaris small,FPOM1,23-May,19-Jun,,,4thinstar,4,,27,,,,,
26,Vulgaris small,FPOM1,23-May,15-Jun,,,4thinstar,4,,23,,,,,
27,Vulgaris small,FPOM1,23-May,,7-Jun,11-Jun,Adult,6,15,,19,40,12,3.333333333,F
28,Vulgaris small,FPOM1,23-May,15-Jun,,,4thinstar,4,,23,,,,,
29,Vulgaris small,FPOM1,23-May,27-Jun,,,3rdinstar,3,,35,,,,,
30,Vulgaris small,FPOM1,23-May,26-May,,,2ndinstar,2,,3,,,,,
31,Vulgaris small,FPOM1,23-May,15-Jun,,,4thinstar,4,,23,,,,,
32,Vulgaris small,FPOM1,23-May,19-Jun,,,3rdinstar,3,,27,,,,,
33,Vulgaris small,DET1,23-May,,7-Jun,11-Jun,Adult,6,15,,19,57,12,4.75,F
34,Vulgaris small,DET1,23-May,,7-Jun,15-Jun,Adult,6,15,,23,62,12,5.166666667,M
35,Vulgaris small,DET1,23-May,,7-Jun,11-Jun,Adult,6,15,,19,59,12,4.916666667,M
36,Vulgaris small,DET1,23-May,,7-Jun,15-Jun,Adult,6,15,,23,70,12,5.833333333,F
37,Vulgaris small,DET1,23-May,,11-Jun,15-Jun,Adult,6,19,,23,65,12,5.416666667,F
38,Vulgaris small,DET1,23-May,,7-Jun,15-Jun,Adult,6,15,,23,60,12,5,F
39,Vulgaris small,DET1,23-May,,7-Jun,11-Jun,Adult,6,15,,19,57,12,4.75,M
